model_name,tags,model_price,Input,Output
mj_imagine,"Image Generation,Async",0.3,0,0
mj_inpaint,"Image Generation,Async",0,0,0
mj_low_variation,"Image Generation,Async",0.3,0,0
mj_modal,"Image Generation,Async",0.3,0,0
mj_pan,"Image Generation,Async",0.3,0,0
mj_reroll,"Image Generation,Async",0.3,0,0
mj_uploads,"Image Generation,Async",0.003,0,0
mj_upscale,"Image Generation,Async",0.15,0,0
mj_variation,"Image Generation,Async",0.3,0,0
mj_video,,0.8,0,0
mj_zoom,"Image Generation,Async",0.3,0,0
moonshot-v1-128k,Chat,0,24,24
moonshot-v1-32k,Chat,0,4.8,4.8
moonshot-v1-8k,Chat,0,2.4,2.4
netease-youdao/bce-reranker-base_v1,Reorder,0,0.01,0.01
o1,Chat,0,15,60
o1-2024-12-17,Chat,0,15,60
o1-all,"Chat,Thinking",0.65,0,0
o1-mini,Chat,0,1.1,4.4
o1-mini-2024-09-12,Chat,0,1.1,4.4
o1-mini-all,"Chat,Thinking",0.15,0,0
o1-preview,Chat,0,15,60
o1-preview-2024-09-12,Chat,0,15,60
o1-preview-all,"Chat,Thinking",0.3,0,0
o1-pro,,0,75,300
o1-pro-2025-03-19,,0,75,300
o1-pro-all,"Chat,Thinking",1.1,0,0
o3,"Chat,Thinking",0,2,8
o3-2025-04-16,"Chat,Thinking",0,2,8
o3-all,"Chat,Thinking",0.7,0,0
o3-mini,Chat,0,1.1,4.4
o3-mini-2025-01-31,Chat,0,1.1,4.4
o3-mini-all,"Chat,Thinking",0,1.1,4.4
o3-mini-high-all,"Chat,Thinking",0.16,0,0
o3-pro,"Chat,Thinking",0,20,80
o3-pro-2025-06-10,"Chat,Thinking",0,20,80
o3-pro-all,"Chat,Thinking",1.4,0,0
o4-mini,"Chat,Vision",0,1.1,4.4
o4-mini-2025-04-16,"Chat,Vision",0,1.1,4.4
o4-mini-all,"Chat,Thinking",0.2,0,0
official-sora-2,,0.1,0,0
phi-4,,0,75,75
prunaai/vace-14b,"Video Generation,Async",3.45,0,0
qvq-max,Chat,0,8,32
qvq-max-latest,Chat,0,8,32
qwen-flash,Chat,0,0.15,1.5
qwen-image-edit-2509,Image Generation,0.12,0,0
qwen-max,Chat,0,2.4,9.6
qwen-max-2025-01-25,Chat,0,2.4,9.6
qwen-max-latest,Chat,0,2.4,9.6
qwen-plus,Chat,0,0.8,2
qwen-plus-2025-12-01,,0,0.8,2
qwen-plus-latest,Chat,0,0.8,2
qwen-turbo,Chat,0,0.3,0.6
qwen-turbo-2025-07-15,,0,0.3,0.6
qwen-vl-max,"Chat,Vision",0,1.6,4
qwen-vl-max-2025-08-13,,0,1.6,4
qwen-vl-max-latest,,0,1.6,4
qwen2-vl-72b-instruct,Chat,0,4.5,4.5
qwen2-vl-7b-instruct,Chat,0,0.5,0.5
qwen2.5-32b,Chat,0,20,60
qwen2.5-32b-instruct,Chat,0,2,6
qwen2.5-72b-instruct,Chat,0,4,12
qwen2.5-7b-instruct,Chat,0,0.5,1
qwen2.5-vl-32b-instruct,"Chat,Vision",0,2,2
qwen2.5-vl-72b-instruct,"Chat,Vision",0,4.5,4.5
qwen2.5-vl-7b-instruct,Chat,0,2,5
qwen3-0.6b,"Chat,Vision",0,0.3,1.2
qwen3-1.7b,"Chat,Vision",0,0.3,1.2
qwen3-14b,"Chat,Vision",0,1,4
qwen3-235b-a22b,"Chat,Vision",0,2,8
qwen3-235b-a22b-instruct-2507,Chat,0,2,8
qwen3-235b-a22b-think,"Chat,Vision,Thinking",0,3,12
qwen3-235b-a22b-thinking-2507,"Chat,Thinking",0,2,8
qwen3-30b-a3b,Chat,0,0.7,2.8
qwen3-30b-a3b-instruct-2507,"Chat,Vision",0,0.7,2.8
qwen3-30b-a3b-think,"Chat,Vision,Thinking",0,0.7,2.8
